parentEventID,eventID,occurenceID,individualCount,organsimQuantity,organsimQuantityType,scientificName,kingdom,phylum,class,taxonRank,dynamicProperties,,,,,,,,
10602-3,10602-3.4,10602-3.4-4,1,1,individuals,Elaenia martinica,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-3,10602-3.4,10602-3.4-5,1,1,individuals,Vireo altiloquus,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-3,10602-3.4,10602-3.4-6,1,1,individuals,Icterus icterus,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-3,10602-3.4,10602-3.4-7,1,1,individuals,Spindalis portoricensis,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""0-10""}""",,,,,,,,
10602-3,10602-3.4,10602-3.4-8,2,2,individuals,Coereba flaveola,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""0-10""}""",,,,,,,,
10602-3,10602-3.4,10602-3.4-9,1,1,individuals,Setophaga adelaidae,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-3,10602-3.4,10602-3.4-10,1,1,individuals,Elaenia martinica,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-4,10602-4.1,10602-4.1-1,3,3,individuals,Setophaga adelaidae,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-4,10602-4.1,10602-4.1-2,2,2,individuals,Loxigilla portoricensis,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-4,10602-4.1,10602-4.1-3,1,1,individuals,Todus mexicanus,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-4,10602-4.1,10602-4.1-4,1,1,individuals,Vireo altiloquus,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-4,10602-4.1,10602-4.1-5,1,1,individuals,Icterus icterus,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-4,10602-4.1,10602-4.1-6,1,1,individuals,Coereba flaveola,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""0-10""}""",,,,,,,,
10602-4,10602-4.1,10602-4.1-7,1,1,individuals,Coereba flaveola,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""0-10""}""",,,,,,,,
10602-4,10602-4.1,10602-4.1-8,1,1,individuals,Vireo altiloquus,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-4,10602-4.1,10602-4.1-9,1,1,individuals,Loxigilla portoricensis,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-4,10602-4.1,10602-4.1-10,1,1,individuals,Loxigilla portoricensis,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
